Year,Month,Day,Hour,Minute,Processing_class,death_toll,Injuries_Person,Vehicle_type,Sex,Age,Weather,Speed_limit,Road_pattern,Accident_location
105,4,7,8,15,2,0,1,C03,1,26,8,50,5,1
105,3,14,7,25,2,0,1,C03,2,56,7,30,3,1
105,3,31,8,28,2,0,2,C03,1,36,8,50,14,9
105,4,18,12,0,2,0,1,B01,1,55,6,50,14,9
105,4,18,12,0,2,0,1,C03,1,31,6,50,14,9
105,4,19,10,58,2,0,2,B12,1,33,8,50,15,18
105,4,19,10,58,2,0,2,H01,1,87,8,50,15,18
105,4,19,10,58,2,0,2,H01,2,82,8,50,15,18
105,4,13,8,53,2,0,1,C03,1,25,8,0,3,2
105,4,13,8,53,2,0,1,C03,1,105,8,0,3,2
105,4,13,14,0,2,0,1,B12,1,33,6,40,3,2
105,4,13,14,0,2,0,1,C03,1,19,6,40,3,2
105,4,17,20,53,2,0,2,H01,1,66,7,50,4,2
105,4,17,20,53,2,0,2,C03,1,20,7,50,4,2
105,4,18,18,40,2,0,3,C03,2,26,7,50,4,1
105,4,18,18,40,2,0,3,C03,1,54,7,50,4,1
105,4,18,18,40,2,0,3,H02,2,27,7,50,4,1
105,4,28,19,10,2,0,1,C03,2,59,7,0,14,9
105,4,28,19,10,2,0,1,G06,1,105,7,0,14,9
105,4,28,19,10,2,0,1,C03,1,105,7,0,14,9
105,4,29,19,0,2,0,1,C03,1,27,7,50,4,1
105,4,29,19,0,2,0,1,C03,1,23,7,50,4,1
105,5,7,12,35,2,0,1,B03,1,51,8,40,4,1
105,5,7,12,35,2,0,1,C03,1,29,8,40,4,1
105,5,1,15,10,2,0,1,B03,1,50,7,50,4,2
105,5,1,15,10,2,0,1,C03,1,56,7,50,4,2
105,3,28,17,57,2,0,1,C03,1,39,7,40,4,1
105,3,28,17,57,2,0,1,B03,1,52,7,40,4,1
105,4,16,8,53,2,0,1,A02,1,41,8,0,4,1
105,4,16,8,53,2,0,1,C03,1,27,8,0,4,1
105,4,19,22,47,2,0,1,B01,1,58,8,40,4,1
105,5,6,11,30,2,0,1,B03,1,67,8,40,14,9
105,5,6,11,30,2,0,1,C03,2,23,8,40,14,9
105,5,6,13,43,2,0,2,B01,1,45,8,50,3,1
105,5,6,13,43,2,0,2,C03,1,24,8,50,3,1
105,5,6,13,43,2,0,2,H02,1,18,8,50,3,1
105,5,12,7,44,2,0,1,B03,1,46,8,50,4,1
105,5,12,7,44,2,0,1,F01,1,74,8,50,4,1
105,4,19,22,47,2,0,1,C03,1,30,8,40,4,1
105,4,20,18,3,2,0,2,C03,2,32,8,0,14,11
105,4,20,18,3,2,0,2,C03,2,46,8,0,14,11
105,4,28,19,30,2,0,3,F01,1,13,8,40,14,9
105,4,28,19,30,2,0,3,C03,1,31,8,40,14,9
105,4,28,19,30,2,0,3,C03,1,58,8,40,14,9
105,4,28,19,30,2,0,3,B03,1,37,8,40,14,9
105,4,28,19,30,2,0,3,H02,2,19,8,40,14,9
105,4,22,9,50,2,0,1,G06,1,105,8,50,4,3
105,4,22,9,50,2,0,1,C03,1,44,8,50,4,3
105,4,26,11,20,2,0,1,B12,1,60,8,50,14,9
105,4,26,11,20,2,0,1,C03,2,41,8,50,14,9
105,4,7,8,15,2,0,1,B01,1,42,8,50,5,1
